status file for recon-all
Thu Mar  5 23:48:58 CET 2026
#@# MotionCor Thu Mar  5 23:48:59 CET 2026
#@# Talairach Thu Mar  5 23:49:05 CET 2026
#@# Talairach Failure Detection Thu Mar  5 23:51:55 CET 2026
#@# Nu Intensity Correction Thu Mar  5 23:51:56 CET 2026
#@# Intensity Normalization Thu Mar  5 23:54:41 CET 2026
recon-all -s sub-v1s10x0050971_ses-1 finished without error at Thu Mar  5 23:55:34 CET 2026



#New# invocation of recon-all 



status file for recon-all
Fri Mar  6 00:02:04 CET 2026
#@# EM Registration Fri Mar  6 00:02:04 CET 2026
recon-all -s sub-v1s10x0050971_ses-1 finished without error at Fri Mar  6 00:05:03 CET 2026



#New# invocation of recon-all 



status file for recon-all
Fri Mar  6 00:05:04 CET 2026
#@# CA Normalize Fri Mar  6 00:05:04 CET 2026
#@# CA Reg Fri Mar  6 00:06:00 CET 2026
#@# SubCort Seg Fri Mar  6 00:45:35 CET 2026
#@# CC Seg Fri Mar  6 01:05:41 CET 2026
#@# Merge ASeg Fri Mar  6 01:06:04 CET 2026
#@# Intensity Normalization2 Fri Mar  6 01:06:04 CET 2026
#@# Mask BFS Fri Mar  6 01:07:29 CET 2026
#@# WM Segmentation Fri Mar  6 01:07:30 CET 2026
#@# Fill Fri Mar  6 01:09:02 CET 2026
recon-all -s sub-v1s10x0050971_ses-1 finished without error at Fri Mar  6 01:09:44 CET 2026



#New# invocation of recon-all 



status file for recon-all
Fri Mar  6 02:26:57 CET 2026
#@# white curv lh Fri Mar  6 02:26:57 CET 2026
#@# white area lh Fri Mar  6 02:26:57 CET 2026
#@# pial curv lh Fri Mar  6 02:26:57 CET 2026
#@# pial area lh Fri Mar  6 02:26:57 CET 2026
#@# thickness lh Fri Mar  6 02:26:57 CET 2026
#@# area and vertex vol lh Fri Mar  6 02:26:57 CET 2026
#@# white curv rh Fri Mar  6 02:26:57 CET 2026
#@# white area rh Fri Mar  6 02:26:57 CET 2026
#@# pial curv rh Fri Mar  6 02:26:57 CET 2026
#@# pial area rh Fri Mar  6 02:26:57 CET 2026
#@# thickness rh Fri Mar  6 02:26:57 CET 2026
#@# area and vertex vol rh Fri Mar  6 02:26:57 CET 2026
#@# Cortical ribbon mask Fri Mar  6 02:26:57 CET 2026
recon-all -s sub-v1s10x0050971_ses-1 finished without error at Fri Mar  6 02:29:57 CET 2026



#New# invocation of recon-all 



status file for recon-all
Fri Mar  6 02:35:12 CET 2026
#@# white curv lh Fri Mar  6 02:35:12 CET 2026
#@# white area lh Fri Mar  6 02:35:12 CET 2026
#@# pial curv lh Fri Mar  6 02:35:12 CET 2026
#@# pial area lh Fri Mar  6 02:35:12 CET 2026
#@# thickness lh Fri Mar  6 02:35:12 CET 2026
#@# area and vertex vol lh Fri Mar  6 02:35:12 CET 2026
#@# white curv rh Fri Mar  6 02:35:12 CET 2026
#@# white area rh Fri Mar  6 02:35:12 CET 2026
#@# pial curv rh Fri Mar  6 02:35:12 CET 2026
#@# pial area rh Fri Mar  6 02:35:12 CET 2026
#@# thickness rh Fri Mar  6 02:35:12 CET 2026
#@# area and vertex vol rh Fri Mar  6 02:35:12 CET 2026
#@# Curvature Stats lh Fri Mar  6 02:35:12 CET 2026
#@# Curvature Stats rh Fri Mar  6 02:35:14 CET 2026
#@# Relabel Hypointensities Fri Mar  6 02:35:15 CET 2026
#@# APas-to-ASeg Fri Mar  6 02:35:27 CET 2026
#@# AParc-to-ASeg aparc Fri Mar  6 02:35:33 CET 2026
#@# AParc-to-ASeg aparc.a2009s Fri Mar  6 02:36:03 CET 2026
#@# AParc-to-ASeg aparc.DKTatlas Fri Mar  6 02:36:30 CET 2026
#@# WMParc Fri Mar  6 02:36:58 CET 2026
#@# ASeg Stats Fri Mar  6 02:38:49 CET 2026
recon-all -s sub-v1s10x0050971_ses-1 finished without error at Fri Mar  6 02:39:16 CET 2026
